[LINE:2]# [2019-10-11 15:39:00,791]  Started
[LINE:14]# [2019-10-11 17:42:40,540]  Ошибка SGDClassifier: 7.31% with params {'loss': 'modified_huber', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:42:49,449]  Ошибка SGDClassifier: 8.31% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:42:58,366]  Ошибка SGDClassifier: 16.16% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:43:07,287]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:43:16,182]  Ошибка SGDClassifier: 7.92% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:43:25,071]  Ошибка SGDClassifier: 8.20% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:43:33,956]  Ошибка SGDClassifier: 7.71% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:43:42,852]  Ошибка SGDClassifier: 8.03% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:43:51,745]  Ошибка SGDClassifier: 8.11% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:44:00,694]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:44:09,635]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:44:18,571]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:44:27,507]  Ошибка SGDClassifier: 27.51% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:44:36,397]  Ошибка SGDClassifier: 7.77% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:44:45,314]  Ошибка SGDClassifier: 15.60% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:44:54,239]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:45:03,138]  Ошибка SGDClassifier: 7.80% with params {'loss': 'modified_huber', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:45:12,785]  Ошибка SGDClassifier: 9.94% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:45:22,507]  Ошибка SGDClassifier: 19.78% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:45:32,189]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:45:41,777]  Ошибка SGDClassifier: 8.76% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:45:51,273]  Ошибка SGDClassifier: 8.34% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:46:00,787]  Ошибка SGDClassifier: 8.31% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:46:10,286]  Ошибка SGDClassifier: 8.43% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:46:19,792]  Ошибка SGDClassifier: 8.60% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:46:29,485]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:46:39,157]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:46:48,840]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:46:58,569]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:47:08,224]  Ошибка SGDClassifier: 10.22% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:47:17,941]  Ошибка SGDClassifier: 20.01% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:47:27,639]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:47:37,233]  Ошибка SGDClassifier: 8.92% with params {'loss': 'modified_huber', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:47:46,997]  Ошибка SGDClassifier: 9.42% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:47:56,757]  Ошибка SGDClassifier: 17.88% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:48:06,452]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:48:16,209]  Ошибка SGDClassifier: 8.45% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:48:25,980]  Ошибка SGDClassifier: 8.51% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:48:35,744]  Ошибка SGDClassifier: 8.90% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:48:45,481]  Ошибка SGDClassifier: 8.93% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:48:55,214]  Ошибка SGDClassifier: 8.85% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:49:04,944]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:49:14,641]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:49:24,331]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:49:34,074]  Ошибка SGDClassifier: 27.51% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:49:43,860]  Ошибка SGDClassifier: 9.07% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:49:53,626]  Ошибка SGDClassifier: 17.95% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:50:03,380]  Ошибка SGDClassifier: 27.56% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:50:13,179]  Ошибка SGDClassifier: 8.36% with params {'loss': 'modified_huber', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:50:22,076]  Ошибка SGDClassifier: 7.07% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:50:31,008]  Ошибка SGDClassifier: 15.10% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:50:39,943]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:50:48,826]  Ошибка SGDClassifier: 7.07% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:50:57,672]  Ошибка SGDClassifier: 9.96% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:51:06,519]  Ошибка SGDClassifier: 8.90% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:51:15,352]  Ошибка SGDClassifier: 9.18% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:51:24,196]  Ошибка SGDClassifier: 9.51% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:51:33,139]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:51:42,081]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:51:51,022]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:51:59,966]  Ошибка SGDClassifier: 27.49% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:52:08,854]  Ошибка SGDClassifier: 7.07% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:52:17,769]  Ошибка SGDClassifier: 15.60% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:52:26,689]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:52:35,552]  Ошибка SGDClassifier: 7.12% with params {'loss': 'squared_hinge', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:52:44,447]  Ошибка SGDClassifier: 8.29% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:52:53,363]  Ошибка SGDClassifier: 16.25% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:53:02,296]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:53:11,195]  Ошибка SGDClassifier: 7.87% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:53:20,086]  Ошибка SGDClassifier: 8.10% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:53:28,976]  Ошибка SGDClassifier: 7.66% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:53:37,857]  Ошибка SGDClassifier: 7.87% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:53:46,751]  Ошибка SGDClassifier: 7.75% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:53:55,698]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:54:04,638]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:54:13,566]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:54:22,498]  Ошибка SGDClassifier: 27.51% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:54:31,398]  Ошибка SGDClassifier: 8.01% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:54:40,352]  Ошибка SGDClassifier: 16.23% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:54:49,269]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:54:58,161]  Ошибка SGDClassifier: 8.15% with params {'loss': 'squared_hinge', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:55:07,819]  Ошибка SGDClassifier: 9.99% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:55:17,552]  Ошибка SGDClassifier: 19.95% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:55:27,244]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:55:36,840]  Ошибка SGDClassifier: 8.57% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:55:46,330]  Ошибка SGDClassifier: 8.55% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:55:55,840]  Ошибка SGDClassifier: 9.45% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:56:05,337]  Ошибка SGDClassifier: 9.61% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:56:14,847]  Ошибка SGDClassifier: 11.84% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:56:24,553]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:56:34,236]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:56:43,921]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:56:53,640]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:57:03,294]  Ошибка SGDClassifier: 10.19% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:57:13,052]  Ошибка SGDClassifier: 20.04% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:57:22,739]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:57:32,342]  Ошибка SGDClassifier: 9.00% with params {'loss': 'squared_hinge', 'penalty': 'l1', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:57:42,118]  Ошибка SGDClassifier: 9.25% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:57:51,883]  Ошибка SGDClassifier: 17.76% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:58:01,594]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:58:11,361]  Ошибка SGDClassifier: 8.67% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:58:21,077]  Ошибка SGDClassifier: 8.51% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:58:30,801]  Ошибка SGDClassifier: 9.16% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:58:40,527]  Ошибка SGDClassifier: 8.79% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:58:50,246]  Ошибка SGDClassifier: 9.25% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:58:59,957]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:59:09,633]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:59:19,316]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 17:59:29,049]  Ошибка SGDClassifier: 27.51% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 17:59:38,817]  Ошибка SGDClassifier: 9.56% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 17:59:48,575]  Ошибка SGDClassifier: 17.55% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 17:59:58,284]  Ошибка SGDClassifier: 27.56% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 18:00:08,046]  Ошибка SGDClassifier: 8.98% with params {'loss': 'squared_hinge', 'penalty': 'elasticnet', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 18:00:16,872]  Ошибка SGDClassifier: 7.35% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 18:00:25,702]  Ошибка SGDClassifier: 7.14% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 18:00:34,526]  Ошибка SGDClassifier: 7.54% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 18:00:43,361]  Ошибка SGDClassifier: 7.37% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 18:00:52,191]  Ошибка SGDClassifier: 8.34% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 18:01:01,036]  Ошибка SGDClassifier: 8.45% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 18:01:09,865]  Ошибка SGDClassifier: 8.15% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 18:01:18,701]  Ошибка SGDClassifier: 8.24% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 18:01:27,549]  Ошибка SGDClassifier: 9.19% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 18:01:36,394]  Ошибка SGDClassifier: 9.91% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 18:01:45,230]  Ошибка SGDClassifier: 9.07% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 18:01:54,071]  Ошибка SGDClassifier: 9.45% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 18:02:02,897]  Ошибка SGDClassifier: 7.66% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 18:02:11,735]  Ошибка SGDClassifier: 7.44% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 18:02:20,561]  Ошибка SGDClassifier: 7.52% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 18:02:29,385]  Ошибка SGDClassifier: 7.42% with params {'loss': 'perceptron', 'penalty': 'none', 'learning_rate': 'adaptive', 'eta0': 0.25}
[LINE:14]# [2019-10-11 18:02:38,215]  Ошибка SGDClassifier: 7.63% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.1}
[LINE:14]# [2019-10-11 18:02:47,050]  Ошибка SGDClassifier: 7.50% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.01}
[LINE:14]# [2019-10-11 18:02:55,875]  Ошибка SGDClassifier: 7.49% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.001}
[LINE:14]# [2019-10-11 18:03:04,715]  Ошибка SGDClassifier: 9.99% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'constant', 'eta0': 0.25}
[LINE:14]# [2019-10-11 18:03:13,550]  Ошибка SGDClassifier: 7.66% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.1}
[LINE:14]# [2019-10-11 18:03:22,384]  Ошибка SGDClassifier: 7.66% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.01}
[LINE:14]# [2019-10-11 18:03:31,207]  Ошибка SGDClassifier: 7.30% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.001}
[LINE:14]# [2019-10-11 18:03:40,047]  Ошибка SGDClassifier: 7.89% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'optimal', 'eta0': 0.25}
[LINE:14]# [2019-10-11 18:03:48,892]  Ошибка SGDClassifier: 8.97% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.1}
[LINE:14]# [2019-10-11 18:03:57,754]  Ошибка SGDClassifier: 9.23% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.01}
[LINE:14]# [2019-10-11 18:04:06,598]  Ошибка SGDClassifier: 9.40% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.001}
[LINE:14]# [2019-10-11 18:04:15,450]  Ошибка SGDClassifier: 9.37% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'invscaling', 'eta0': 0.25}
[LINE:14]# [2019-10-11 18:04:24,284]  Ошибка SGDClassifier: 7.89% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.1}
[LINE:14]# [2019-10-11 18:04:33,126]  Ошибка SGDClassifier: 7.84% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.01}
[LINE:14]# [2019-10-11 18:04:41,971]  Ошибка SGDClassifier: 7.59% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.001}
[LINE:14]# [2019-10-11 18:04:50,804]  Ошибка SGDClassifier: 9.45% with params {'loss': 'perceptron', 'penalty': 'l2', 'learning_rate': 'adaptive', 'eta0': 0.25}
